07:46:19.720,1588903,3_092_193_331_784
07:47:21.670,1588903,3_092_193_229_690
07:48:22.849,1588903,3_092_193_127_596
07:49:24.692,1588903,3_092_193_025_502
07:50:26.184,1588903,3_092_192_923_408
07:51:27.692,1588903,3_092_192_821_314
07:52:28.642,1588903,3_092_192_719_220
07:53:29.935,1588903,3_092_192_617_126
07:54:31.368,1588903,3_092_192_515_032
07:55:33.113,1588903,3_092_192_413_082
07:56:34.679,1588903,3_092_192_310_988
07:57:36.318,1588903,3_092_192_208_894
07:58:37.453,1588903,3_092_192_106_800
07:59:38.962,1588903,3_092_192_004_706
08:00:40.363,1588903,3_092_191_902_612
